x,y,depth,u,A,SG,SGI,SedRate
4.157458e+05,3.852808e+06,2.213300e+01,2.058923e-01,9.000000e+04,1.777480e-02,1.926807e-10,0.000000e+00
4.160056e+05,3.852958e+06,2.211000e+01,2.237788e-01,9.000000e+04,1.637108e-02,1.774643e-10,0.000000e+00
4.162654e+05,3.853108e+06,2.207200e+01,2.423535e-01,9.000000e+04,1.514238e-02,1.641450e-10,0.000000e+00
4.165252e+05,3.853258e+06,2.259800e+01,2.617748e-01,9.000000e+04,1.369264e-02,1.484297e-10,0.000000e+00
4.167850e+05,3.853408e+06,2.269600e+01,2.800633e-01,9.000000e+04,1.274323e-02,1.381380e-10,0.000000e+00
4.170448e+05,3.853558e+06,2.261400e+01,2.989488e-01,9.000000e+04,1.198149e-02,1.298806e-10,0.000000e+00
4.173046e+05,3.853708e+06,2.263200e+01,3.092268e-01,9.000000e+04,1.157404e-02,1.254638e-10,0.000000e+00
4.175644e+05,3.853858e+06,2.291000e+01,2.975402e-01,9.003000e+04,1.188664e-02,1.288095e-10,0.000000e+00
4.178243e+05,3.854008e+06,2.319600e+01,2.791994e-01,9.000000e+04,1.250712e-02,1.355786e-10,0.000000e+00
4.180841e+05,3.854158e+06,2.312600e+01,2.652574e-01,9.000000e+04,1.320435e-02,1.431366e-10,0.000000e+00
4.183439e+05,3.854308e+06,2.318600e+01,2.576402e-01,9.000000e+04,1.355956e-02,1.469871e-10,0.000000e+00
4.186037e+05,3.854458e+06,2.316000e+01,2.512860e-01,9.000000e+04,1.391804e-02,1.508731e-10,0.000000e+00
4.188635e+05,3.854608e+06,2.358900e+01,2.426272e-01,9.000000e+04,1.415259e-02,1.534156e-10,0.000000e+00
4.191233e+05,3.854758e+06,2.303400e+01,2.408769e-01,9.000000e+04,1.459891e-02,1.582538e-10,0.000000e+00
4.193831e+05,3.854908e+06,2.358900e+01,2.901753e-01,9.000000e+04,1.183355e-02,1.282770e-10,0.000000e+00
4.196429e+05,3.855058e+06,1.254400e+01,2.040878e-01,9.000000e+04,3.163967e-02,3.429775e-10,0.000000e+00
4.199027e+05,3.855208e+06,1.450100e+01,2.977020e-01,9.000000e+04,1.876313e-02,2.033944e-10,-4.000000e-03
4.201625e+05,3.855358e+06,8.057000e+00,4.234129e-01,9.000000e+04,2.374365e-02,2.573838e-10,-1.000000e-03
4.204223e+05,3.855508e+06,1.022000e+01,6.755792e-01,9.000000e+04,1.173162e-02,1.271720e-10,0.000000e+00
4.206821e+05,3.855658e+06,1.742700e+01,5.712099e-01,9.000000e+04,8.137044e-03,8.820644e-11,0.000000e+00
4.209419e+05,3.855808e+06,1.867200e+01,5.384992e-01,9.003000e+04,8.058493e-03,8.732583e-11,0.000000e+00
4.212018e+05,3.855958e+06,2.070300e+01,5.506929e-01,9.000000e+04,7.104643e-03,7.701510e-11,0.000000e+00
4.214616e+05,3.856108e+06,2.164900e+01,5.805052e-01,9.000000e+04,6.445269e-03,6.986742e-11,0.000000e+00
4.217214e+05,3.856258e+06,2.164100e+01,6.314691e-01,9.000000e+04,5.927282e-03,6.425237e-11,0.000000e+00
4.219812e+05,3.856408e+06,2.164900e+01,6.772866e-01,9.000000e+04,5.524268e-03,5.988366e-11,0.000000e+00
4.222371e+05,3.856556e+06,2.158900e+01,7.082593e-01,8.733000e+04,5.140213e-03,5.742405e-11,0.000000e+00
4.224821e+05,3.856697e+06,2.158900e+01,7.233595e-01,8.240746e+04,4.749220e-03,5.622532e-11,0.000000e+00
4.227132e+05,3.856831e+06,2.110100e+01,7.244598e-01,7.778182e+04,4.579344e-03,5.743827e-11,0.000000e+00
4.229312e+05,3.856956e+06,2.068900e+01,7.132480e-01,7.339890e+04,4.476638e-03,5.950296e-11,0.000000e+00
4.231369e+05,3.857076e+06,1.997800e+01,6.960651e-01,6.922612e+04,4.480336e-03,6.314177e-11,0.000000e+00
4.233309e+05,3.857188e+06,1.723800e+01,7.004334e-01,6.527175e+04,4.865349e-03,7.272185e-11,0.000000e+00
4.235140e+05,3.857293e+06,1.539900e+01,7.388737e-01,6.156000e+04,4.869433e-03,7.717132e-11,0.000000e+00
4.236867e+05,3.857393e+06,1.200000e+01,7.906169e-01,5.805000e+04,5.506776e-03,9.254891e-11,0.000000e+00
4.238496e+05,3.857487e+06,1.200000e+01,7.701122e-01,5.482827e+04,5.339638e-03,9.501308e-11,0.000000e+00
4.240033e+05,3.857576e+06,1.207500e+01,7.075114e-01,5.170723e+04,5.447198e-03,1.027775e-10,0.000000e+00
4.241483e+05,3.857659e+06,1.379600e+01,6.594344e-01,4.879626e+04,4.827300e-03,9.651479e-11,0.000000e+00
4.145566e+05,3.852468e+06,6.327000e+00,6.952933e-02,9.000000e+04,1.841277e-01,1.995964e-09,-8.000000e-03
4.148164e+05,3.852618e+06,1.714600e+01,1.119110e-01,9.000000e+04,4.221330e-02,4.575968e-10,0.000000e+00
4.150762e+05,3.852768e+06,2.178300e+01,1.336066e-01,9.000000e+04,2.783168e-02,3.016984e-10,-2.000000e-03
4.153360e+05,3.852918e+06,2.194700e+01,1.530138e-01,9.000000e+04,2.412011e-02,2.614646e-10,0.000000e+00
4.155958e+05,3.853068e+06,2.219600e+01,1.729666e-01,9.000000e+04,2.109833e-02,2.287082e-10,0.000000e+00
4.158556e+05,3.853218e+06,2.195800e+01,1.927293e-01,9.000000e+04,1.914011e-02,2.074809e-10,0.000000e+00
4.161154e+05,3.853368e+06,2.218900e+01,2.155707e-01,9.000000e+04,1.693392e-02,1.835655e-10,0.000000e+00
4.163752e+05,3.853518e+06,2.241600e+01,2.413325e-01,9.000000e+04,1.497308e-02,1.623098e-10,0.000000e+00
4.166350e+05,3.853668e+06,2.224600e+01,2.742773e-01,9.000000e+04,1.327527e-02,1.439053e-10,0.000000e+00
4.168948e+05,3.853818e+06,2.256200e+01,3.112264e-01,9.000000e+04,1.153535e-02,1.250445e-10,0.000000e+00
4.171546e+05,3.853968e+06,2.245100e+01,3.390884e-01,9.000000e+04,1.063987e-02,1.153373e-10,0.000000e+00
4.174144e+05,3.854118e+06,2.264300e+01,3.247348e-01,9.003000e+04,1.101963e-02,1.194142e-10,0.000000e+00
4.176743e+05,3.854268e+06,2.293600e+01,3.074265e-01,9.000000e+04,1.148751e-02,1.245259e-10,0.000000e+00
4.179341e+05,3.854418e+06,2.308200e+01,3.015204e-01,9.000000e+04,1.163844e-02,1.261620e-10,0.000000e+00
4.181939e+05,3.854568e+06,2.315700e+01,3.058732e-01,9.000000e+04,1.143566e-02,1.239638e-10,0.000000e+00
4.184537e+05,3.854718e+06,2.315500e+01,3.172688e-01,9.000000e+04,1.102587e-02,1.195216e-10,0.000000e+00
4.187135e+05,3.854868e+06,2.318800e+01,3.330907e-01,9.000000e+04,1.048719e-02,1.136823e-10,0.000000e+00
4.189733e+05,3.855018e+06,2.308000e+01,3.567011e-01,9.000000e+04,9.838860e-03,1.066543e-10,0.000000e+00
4.192331e+05,3.855168e+06,2.311900e+01,3.848734e-01,9.000000e+04,9.103284e-03,9.868059e-11,0.000000e+00
4.194929e+05,3.855318e+06,2.215500e+01,3.662244e-01,9.000000e+04,9.983112e-03,1.082180e-10,0.000000e+00
4.197527e+05,3.855468e+06,1.603300e+01,4.749890e-01,9.000000e+04,1.063620e-02,1.152976e-10,-2.000000e-03
